FID,OBJECTID,SHAPE,TEXT13ID,F_TYP,T_TEXT,T_LANG,O,P,O_UEREG,O_REGION,O_LOKAL,P_WLD,P_WAS,P_WIE,P_WGT,P_LW,P_PK,P_GPK,P_GST,P_SGR,P_AGR,P_RGR,P_URB,Q_MOB,Q_SPI,Q_GRI,Q_HUN,Q_BAB,Q_WC,Q_SPO,Q_TRB,UMFANG,FLAECHE,SE_ANNO_CAD_DATA
OEFFGRUENFLOGD.2241,2241,"POLYGON ((16.317464414662457 48.22164923530621, 16.316783353639263 48.22188350796094, 16.316386805594355 48.221374482140064, 16.317060057585383 48.22113992903152, 16.317464414662457 48.22164923530621))",Stöberplatz,L,Stöberplatz,Stöberplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,12,1,241.25563315,3624.36705836,
OEFFGRUENFLOGD.2242,2242,"MULTIPOLYGON (((16.318980656141715 48.21499984053785, 16.31825778783101 48.21500085458514, 16.317985852920934 48.21419226574768, 16.31879309010175 48.214202227089885, 16.318848513408437 48.21420813677939, 16.31888214248001 48.2142407422182, 16.318980656141715 48.21499984053785), (16.318488978083753 48.214964625176194, 16.318803093343096 48.21496777830275, 16.318813847244964 48.214856935917354, 16.31876786352967 48.214351240781646, 16.318414236965882 48.214356043165644, 16.318480319129097 48.21488207607615, 16.31849489987293 48.21487926164048, 16.318488978083753 48.214964625176194)))",Familienplatz,L,Familienplatz,Familienplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,486.82000119,3613.88754169,
OEFFGRUENFLOGD.2243,2243,"POLYGON ((16.311918706990458 48.22268850109662, 16.31131237423532 48.22277003004509, 16.3107066041179 48.22279858598786, 16.309945939733137 48.22280542996184, 16.309232123707137 48.22278592980516, 16.308711843343644 48.22275621928843, 16.3084810400593 48.22274564197465, 16.30774666499495 48.222670639621164, 16.306984175864883 48.22257548068967, 16.307368150490852 48.2208722655016, 16.30742290528122 48.220623345597694, 16.30820719261475 48.22071482153664, 16.30822869833746 48.22051616695413, 16.30840242580918 48.22053644368531, 16.309590528631283 48.220680885089756, 16.309954119923056 48.22073548882418, 16.309809451035083 48.22127313764455, 16.30981354874763 48.221273539679274, 16.309804064063908 48.221280600766875, 16.309467829973897 48.22164888473028, 16.309475455243188 48.221659273643276, 16.309278942856192 48.222558412853246, 16.31043171283569 48.22267675698121, 16.311104369546598 48.22264713788106, 16.31122988795707 48.22246613206578, 16.311488137330468 48.222493167299696, 16.311965532262324 48.22242249216235, 16.31222645198032 48.222356868482564, 16.31224637361954 48.22248802132585, 16.31222504927242 48.222617788735654, 16.31222763059032 48.222623499952746, 16.311918706990458 48.22268850109662))",Kongreßpark,L,Kongreßpark,Kongreßpark,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,1,1302.56238127,45618.74845546,
OEFFGRUENFLOGD.2244,2244,"POLYGON ((16.307875433505462 48.216360962268105, 16.307700151665696 48.216386261915524, 16.307437058982444 48.21643031543214, 16.30735017695436 48.215834063826634, 16.307285901776844 48.21558822915839, 16.307198897149217 48.21532748158282, 16.307217186634464 48.215325662361046, 16.307403693281724 48.21530712015072, 16.30751697601438 48.215295856527, 16.307875433505462 48.216360962268105))",Musilplatz,L,Musilplatz,Musilplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,302.84258464,3297.93632325,
OEFFGRUENFLOGD.2245,2245,"POLYGON ((16.29451241573306 48.2152580430331, 16.293977292625975 48.21529775544464, 16.29398080575436 48.21523255596516, 16.29400120473211 48.21513504377671, 16.294052078457355 48.21507632505785, 16.29410629276921 48.21507409658479, 16.29451241573306 48.2152580430331))",Katharinenru*,L,Katharinenruhe,Katharinenruhe,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,106.25513064,554.72983189,
OEFFGRUENFLOGD.2246,2246,"POLYGON ((16.361865201202896 48.25974658820537, 16.361938221596194 48.259847924515874, 16.36203688073494 48.2599027775643, 16.362215305474358 48.25994124944453, 16.36197638809721 48.25995129657047, 16.36179443402382 48.25994876978367, 16.361665537489493 48.25993333028122, 16.36144409460926 48.25987483391013, 16.361682940660238 48.25972217830536, 16.361868294567678 48.259606631785026, 16.361865201202896 48.25974658820537))",Pfarrer-Mits*,L,Pfarrer-Mitschke-Park,Pfarrer-Mitschke-Park,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,153.59280425,822.16072769,
OEFFGRUENFLOGD.2247,2247,"POLYGON ((16.313040698942697 48.21555272604206, 16.31301848076953 48.21558644610987, 16.312271868134452 48.21570095700318, 16.312207541600145 48.215682676631126, 16.3120954944671 48.21532854566953, 16.312130224039652 48.21529932499552, 16.312902939555507 48.21518060427452, 16.313040698942697 48.21555272604206))",Mildeplatz,L,Mildeplatz,Mildeplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,1,212.16334941,2872.07987353,
OEFFGRUENFLOGD.2248,2248,"POLYGON ((16.335806589734343 48.21321203241281, 16.335651035560364 48.2138244129233, 16.3347664468922 48.213720703307935, 16.334922011326398 48.21310719893219, 16.335806589734343 48.21321203241281))",Yppenplatz,L,Yppenplatz,Yppenplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,123,1,271.76834181,4614.61562502,
OEFFGRUENFLOGD.2249,2249,"POLYGON ((16.326405547777885 48.212760274652815, 16.32551016561195 48.212975751040354, 16.325492949843532 48.212939496010144, 16.32622693842282 48.212338140460076, 16.326405547777885 48.212760274652815))",Johann-NepoB*,L,Johann-Nepomuk-Berger-Pl.,Johann-Nepomuk-Berger-Platz,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,210.03013048,1873.49361695,
OEFFGRUENFLOGD.2250,2250,"POLYGON ((16.30987969689489 48.21285801905103, 16.308938669060037 48.21299747661815, 16.308767910321563 48.212503652050195, 16.309702741663912 48.21236363326852, 16.30987969689489 48.21285801905103))",Stillfriedpl*,L,Stillfriedplatz,Stillfriedplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,12,1,255.71525872,4030.52446875,
OEFFGRUENFLOGD.2251,2251,"POLYGON ((16.308739657859135 48.20949344782, 16.307791138415944 48.20963654733258, 16.307722376007213 48.209408327451726, 16.30865338489905 48.20926634846958, 16.308739657859135 48.20949344782))",Park Wiesber*,L,Park Wiesberggasse,Parkanlage Wiesberggasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,1,195.18404531,1859.44387188,
OEFFGRUENFLOGD.2252,2252,"POLYGON ((16.3196050878861 48.210579767860104, 16.318786991967375 48.21070358466429, 16.318668166404283 48.21035817140778, 16.319486945223414 48.210228453292565, 16.3196050878861 48.210579767860104))",Schuhmeierpl*,L,Schuhmeierplatz,Schuhmeierplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,123,1,204.33009276,2480.36433714,
OEFFGRUENFLOGD.2253,2253,"POLYGON ((16.32794879428644 48.21009896529362, 16.32719798897052 48.2102144155862, 16.326973677095555 48.209558736632616, 16.327720975047395 48.20944356812387, 16.32794879428644 48.21009896529362))",Richard-Wagn*,L,Richard-Wagner-Park,Richard-Wagner-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,1,263.86568797,4273.46006296,
OEFFGRUENFLOGD.2254,2254,"POLYGON ((16.334562021564626 48.20547139018557, 16.334491492346647 48.20604359745627, 16.333843241074167 48.20600003669626, 16.333768556130753 48.20599747301606, 16.333824369131545 48.20543568633871, 16.334562021564626 48.20547139018557))",Ludo-Hartman*,L,Ludo-Hartmann-Park,Ludo-Hartmann-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,12,1,235.40454233,3437.08873452,
OEFFGRUENFLOGD.2255,2255,"POLYGON ((16.228211462560367 48.21673196882421, 16.22783111492178 48.21706828992627, 16.22771620811043 48.21715984580458, 16.22766948017402 48.21719707857987, 16.227124313013444 48.21691502341506, 16.22721530949886 48.21683407724735, 16.22765522316067 48.21644008157818, 16.228211462560367 48.21673196882421))",Salzwiesenga*,L,Salzwiesengasse,Salzwiesengasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,235.27835409,3432.1664699,
OEFFGRUENFLOGD.2256,2256,"POLYGON ((16.302846582075926 48.22343080198198, 16.30271056091264 48.22355413748643, 16.301884570597938 48.22341534344696, 16.30163614462009 48.223392786192406, 16.301382605208076 48.2233654487704, 16.301223926405807 48.22337551805075, 16.301037885275207 48.22344066209178, 16.30120487617996 48.223264502945234, 16.301309400798825 48.222954831431416, 16.301329847986267 48.22284763421492, 16.301719028870863 48.223020447718966, 16.301756849615373 48.22303023463749, 16.3020006436195 48.2231225369965, 16.302026643051768 48.223085166287234, 16.302364062093083 48.223222693615774, 16.302388169726957 48.22321707994541, 16.302846582075926 48.22343080198198))",Park Spinoza*,L,Park Spinozagasse,Parkanlage Spinozagasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,351.91621663,4361.73414177,
OEFFGRUENFLOGD.2257,2257,"POLYGON ((16.305964919711744 48.214442393575695, 16.306676566056158 48.21452126868588, 16.305494802328145 48.21460470912616, 16.30545966649244 48.21440741120645, 16.305137520299198 48.21441856632768, 16.304037167123365 48.21433402233106, 16.304003422827506 48.21429407945386, 16.303989810823918 48.21405524025015, 16.303994758610422 48.213889621756586, 16.304995800302144 48.21378055504492, 16.305103076605608 48.21418951075369, 16.30512912577244 48.21428141760299, 16.305417060198785 48.21432252640763, 16.30558455008341 48.2143860855795, 16.305964919711744 48.214442393575695))",Karl-Kantner*,L,Karl-Kantner-Park,Karl-Kantner-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,517.48917028,6256.53116896,
OEFFGRUENFLOGD.2258,2258,"POLYGON ((16.286016366162634 48.20774981541132, 16.286842331438294 48.20830437971732, 16.287113455971472 48.208385154027795, 16.2869866627494 48.208622296077294, 16.286923838926974 48.208614400137954, 16.28624735484383 48.208188054798725, 16.286001112923753 48.20807525094632, 16.2858581446344 48.208023477498685, 16.28591169921706 48.20787960936945, 16.286016366162634 48.20774981541132))",Steinhofer P*,L,Steinhofer /Park Demuthga,Parkanlage Demuthgasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,1,278.08759302,2642.57059354,
OEFFGRUENFLOGD.2259,2259,"POLYGON ((16.36442905171852 48.24995160546172, 16.363435533354775 48.25012749367596, 16.36299716267491 48.248963826016976, 16.363985681160216 48.24879637474862, 16.36442905171852 48.24995160546172))",HeiligenstäS*,L,Heiligenstädter Straße,Heiligenstädter Straße,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,418.1061209,10113.70052498,
OEFFGRUENFLOGD.2260,2260,"POLYGON ((16.354977684396076 48.25504535242763, 16.35516550081876 48.2552886985082, 16.35528795955876 48.255410929197595, 16.35518898420466 48.25542640216498, 16.354217008379884 48.25539986120925, 16.354123647401707 48.25468716900453, 16.354484845929246 48.254677837282706, 16.35458684120535 48.25501197301357, 16.35492893305836 48.254966951862194, 16.354977684396076 48.25504535242763))",Rudolf-Kassn*,L,Rudolf-Kassner-Gasse,Rudolf-Kassner-Gasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.22135927,4183.44505656,
OEFFGRUENFLOGD.2261,2261,"POLYGON ((16.35848905393916 48.25393997177531, 16.358221068735975 48.25392934420887, 16.357784758718974 48.25393785828039, 16.355867919332123 48.25386934904909, 16.355796546435748 48.25386345997452, 16.35586890896601 48.25363805679274, 16.355752468723896 48.2534003203509, 16.355556740386998 48.25315894328758, 16.35574144565601 48.25310214267803, 16.355661213989507 48.25281578117354, 16.35575139377752 48.25287149816886, 16.355736205998365 48.25282047182859, 16.35569743787131 48.252798074697324, 16.355659033526678 48.25274781581312, 16.355736054490315 48.25273061409861, 16.35575492979065 48.25279356292859, 16.3558733326748 48.25287205465668, 16.356000749798163 48.252956521551646, 16.356140321155483 48.25301484849983, 16.35637671062141 48.25311708800765, 16.356379213039624 48.25311467920158, 16.35639845971415 48.253092755008836, 16.357803421736698 48.253172875048996, 16.357838573899073 48.25286091854149, 16.357969872296227 48.25286904327084, 16.357978837235258 48.25273751675007, 16.357331781001257 48.25271150198509, 16.35737563045794 48.25236638174725, 16.357511635079447 48.25129532795729, 16.357564814515467 48.25127086837312, 16.35757864689506 48.25117840449596, 16.35842554475577 48.25127267150398, 16.35878563550659 48.25131447593474, 16.358902876200773 48.251329347233984, 16.360928301607636 48.25158467102591, 16.361022739892217 48.251670367047986, 16.36176995508703 48.25163816475759, 16.36194413735134 48.25206979705503, 16.36238065971595 48.2519876357246, 16.36239063931586 48.252016579701674, 16.36240868399305 48.252014608777095, 16.362500326692594 48.25215932087229, 16.36242532921165 48.25217479547505, 16.361689171147244 48.25236550384575, 16.36157412016785 48.252395319172926, 16.36081413241495 48.25246743003417, 16.36070799604846 48.252701274676646, 16.360583736096075 48.25333363200075, 16.359564585452745 48.253279885326926, 16.35953230715578 48.25337207167913, 16.359373154355723 48.253380535037174, 16.35937948813423 48.25342044085534, 16.359227324338292 48.253432275029, 16.35923380968422 48.25348004982967, 16.359094181555644 48.25348907094856, 16.359107120175782 48.25354358932851, 16.358944599344582 48.253553176909655, 16.358958338591187 48.25362174694167, 16.358732528619054 48.253638091631764, 16.35872133297788 48.2535959384476, 16.358429259566304 48.25362241283405, 16.35848905393916 48.25393997177531))",HeiligenstäP*,L,Heiligenstädter Park,Heiligenstädter Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,123,1,1706.56138772,78432.92476939,
OEFFGRUENFLOGD.2262,2262,"POLYGON ((16.35129402415878 48.25695694051008, 16.351287476228567 48.25712949730961, 16.351188250278568 48.257224219834136, 16.350205836627374 48.25682611621603, 16.350194112156977 48.25679688993393, 16.35032162084388 48.256704694544325, 16.350545952224735 48.256588037253344, 16.35081526584238 48.256487110889246, 16.35118935393182 48.25639656899109, 16.35129402415878 48.25695694051008))",Park Langack*,L,Park Langackergasse,Parkanlage Langackergasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.08084032,4282.21178657,
OEFFGRUENFLOGD.2263,2263,"POLYGON ((16.331020170283704 48.24345393527965, 16.331143086602705 48.24378975352771, 16.331113193576936 48.24382518529388, 16.33110766996028 48.24386061811902, 16.330838117763353 48.24393066277701, 16.330754768022693 48.24344922874744, 16.330362270703535 48.2434986676386, 16.330329598753604 48.24334044295342, 16.330252656304232 48.242967784767, 16.33062736767073 48.242899792495365, 16.33085853923966 48.242873385901866, 16.330881324436998 48.242956976618714, 16.33084077538082 48.24296560640085, 16.330880295868624 48.2430486241212, 16.330829321690878 48.24305922472454, 16.331001483077504 48.24343667566543, 16.331020170283704 48.24345393527965))",Alfred-Auer-*,L,Alfred-Auer-Park,Alfred-Auer-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.31832995,3846.40283996,
OEFFGRUENFLOGD.2264,2264,"POLYGON ((16.334974226375977 48.21877573078035, 16.33496413218136 48.218832500274395, 16.33511067324638 48.21923860143961, 16.334262989790496 48.21941480090398, 16.334112960124305 48.218904715598036, 16.33431549322248 48.21885834732084, 16.33480668466184 48.21875633782741, 16.334952615412522 48.21871868037633, 16.334974226375977 48.21877573078035))",Pezzlpark,L,Pezzlpark,Pezzlpark,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,248.87827769,3768.79761641,
OEFFGRUENFLOGD.2265,2265,"POLYGON ((16.33114973664124 48.246019788286226, 16.33121610819269 48.24610018999687, 16.331783931823328 48.2465920505835, 16.33175827272342 48.24663709185107, 16.3312521824403 48.24620821018093, 16.330957202694293 48.245957512940684, 16.330610359283927 48.24610251152969, 16.3305512447091 48.24603365524128, 16.330381218784172 48.24577593615318, 16.3301508094777 48.24549005249245, 16.33037533172929 48.24544403245078, 16.330361064512324 48.245401032732545, 16.33073497615433 48.24529538123381, 16.331056096345854 48.24529595792409, 16.331844628519374 48.24518893181836, 16.33218790418953 48.24516026220744, 16.33229613132017 48.2454873201781, 16.331729403912625 48.24570573657941, 16.331380442755854 48.245803399216086, 16.331298670592467 48.24582628430341, 16.331300863713466 48.24582855337005, 16.33127191325263 48.245837704490455, 16.331194021032125 48.245878408715974, 16.33115025731948 48.245926733377274, 16.33114973664124 48.246019788286226))",Park Börnerg*,L,Park Börnergasse,Parkanlage Börnergasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,1,596.42105757,9524.12461206,
OEFFGRUENFLOGD.2266,2266,"POLYGON ((16.346327565172995 48.223675735525305, 16.34662203463604 48.22373690143385, 16.345583168074274 48.22382233785851, 16.34575985804331 48.223533579563245, 16.346327565172995 48.223675735525305))",Vilma-Degisc*,L,Vilma-Degischer-Park,Vilma-Degischer-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,180.42066293,1147.39849065,
