FID,OBJECTID,SHAPE,NATNR,ARTBEZ,WISSBEZ,BEZ,ADRESSE,ND_TYP,OBJEKTART,SE_ANNO_CAD_DATA
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69e9,1713324,POINT (16.26637260856914 48.15129132842905),587,Rosskastanie,Aesculus hippocastanum,23,"23., Endresstraße 121",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69ea,1713325,POINT (16.350913826515 48.23867494622856),589,Baumhasel,Corylus colurna,19,"19., Kreindlgasse 9",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69eb,1713326,POINT (16.351243878460448 48.22937460683794),591,Blauglockenbaum,Paulownia tomentosa,9,"9., Währinger Gürtel 144",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69ec,1713327,POINT (16.347352331289372 48.25339571388222),593,Winterlinde,Tilia cordata,19,"19., Grinzinger Straße 18",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69ed,1713328,POINT (16.29198020650949 48.18840121067711),594,Tränenkiefer,Pinus wallichiana,13,"13., Steckhovengasse 8",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69ee,1713329,POINT (16.35756343117102 48.27308940621924),596,Winterlinde,Tilia cordata,19,"19., Heiligenstädterstraße 331",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69ef,1713330,POINT (16.27935905111292 48.148912101292275),597,Platane,Platanus x hybrida,23,"23., Endresstraße 54",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69f0,1713331,POINT (16.27940718397022 48.14889260956638),597,Platane,Platanus x hybrida,23,"23., Endresstraße 54",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69f1,1713332,POINT (16.27946733296736 48.14882267125393),597,Platane,Platanus x hybrida,23,"23., Endresstraße 54",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69f2,1713333,POINT (16.390073282691365 48.25873533924116),600,Esche,Fraxinus excelsior,21,"21., Jedleseer Straße -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69f3,1713334,POINT (16.350635786378476 48.2532901266981),601,Platane,Platanus x hybrida,19,"19., Grinzinger Straße 48",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69f4,1713335,POINT (16.350651686369105 48.25332474831528),601,Platane,Platanus x hybrida,19,"19., Grinzinger Straße 48",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69f5,1713336,POINT (16.350683993622614 48.253283195881664),601,Platane,Platanus x hybrida,19,"19., Grinzinger Straße 48",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69f6,1713337,POINT (16.350687390182866 48.25338886495334),601,Platane,Platanus x hybrida,19,"19., Grinzinger Straße 48",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69f7,1713338,POINT (16.350797391987847 48.25332679824588),601,Platane,Platanus x hybrida,19,"19., Grinzinger Straße 48",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69f8,1713339,POINT (16.350797391987847 48.25332679824588),601,Platane,Platanus x hybrida,19,"19., Grinzinger Straße 48",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69f9,1713340,POINT (16.35088006569577 48.25376304531622),602,Platane,Platanus x hybrida,19,"19., Grinzinger Straße 48",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69fa,1713341,POINT (16.35097285173487 48.25377220638781),602,Platane,Platanus x hybrida,19,"19., Grinzinger Straße 48",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69fb,1713342,POINT (16.26013192179279 48.20407867018762),603,Sommerlinde,Tilia platyphyllos,14,"14., Freyenthurmgasse/Steinböckengasse -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69fc,1713343,POINT (16.26013615422664 48.20412777600796),603,Esche,Fraxinus excelsior,14,"14., Freyenthurmgasse/Steinböckengasse -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69fd,1713344,POINT (16.260204054555366 48.203972238033096),603,Esche,Fraxinus excelsior,14,"14., Freyenthurmgasse/Steinböckengasse -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69fe,1713345,POINT (16.284122086040433 48.23808614349375),605,Platane,Platanus x hybrida,17,"17., Neuwaldegger Straße 41",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69ff,1713346,POINT (16.295430461549117 48.18825184706734),606,Schwarzkiefer,Pinus nigra,13,"13., Braunschweiggasse 14",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a00,1713347,POINT (16.295430461549117 48.18825184706734),606,Schwarzkiefer,Pinus nigra,13,"13., Braunschweiggasse 14",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a01,1713348,POINT (16.295430461549117 48.18825184706734),606,Schwarzkiefer,Pinus nigra,13,"13., Braunschweiggasse 14",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a02,1713349,POINT (16.295430461549117 48.18825184706734),606,Schwarzkiefer,Pinus nigra,13,"13., Braunschweiggasse 14",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a03,1713350,POINT (16.295430461549117 48.18825184706734),606,Schwarzkiefer,Pinus nigra,13,"13., Braunschweiggasse 14",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a04,1713351,POINT (16.295430461549117 48.18825184706734),606,Schwarzkiefer,Pinus nigra,13,"13., Braunschweiggasse 14",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a05,1713352,POINT (16.295430461549117 48.18825184706734),606,Schwarzkiefer,Pinus nigra,13,"13., Braunschweiggasse 14",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a06,1713353,POINT (16.295430461549117 48.18825184706734),606,Schwarzkiefer,Pinus nigra,13,"13., Braunschweiggasse 14",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a07,1713354,POINT (16.295430461549117 48.18825184706734),606,Schwarzkiefer,Pinus nigra,13,"13., Braunschweiggasse 14",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a08,1713355,POINT (16.295430461549117 48.18825184706734),606,Schwarzkiefer,Pinus nigra,13,"13., Braunschweiggasse 14",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a09,1713356,POINT (16.295430461549117 48.18825184706734),606,Schwarzkiefer,Pinus nigra,13,"13., Braunschweiggasse 14",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a0a,1713357,POINT (16.295430461549117 48.18825184706734),606,Schwarzkiefer,Pinus nigra,13,"13., Braunschweiggasse 14",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a0b,1713358,POINT (16.295430461549117 48.18825184706734),606,Schwarzkiefer,Pinus nigra,13,"13., Braunschweiggasse 14",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a0c,1713359,POINT (16.295430461549117 48.18825184706734),606,Schwarzkiefer,Pinus nigra,13,"13., Braunschweiggasse 14",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a0d,1713360,POINT (16.295430461549117 48.18825184706734),606,Schwarzkiefer,Pinus nigra,13,"13., Braunschweiggasse 14",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a0e,1713361,POINT (16.295430461549117 48.18825184706734),606,Schwarzkiefer,Pinus nigra,13,"13., Braunschweiggasse 14",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a0f,1713362,POINT (16.295430461549117 48.18825184706734),606,Schwarzkiefer,Pinus nigra,13,"13., Braunschweiggasse 14",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a10,1713363,POINT (16.295430461549117 48.18825184706734),606,Blutbuche,Fagus sylvatica Atropurpurea,13,"13., Braunschweiggasse 14",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a11,1713364,POINT (16.403623232357216 48.316493446423934),607,Winterlinde,Tilia cordata,21,"21., Hagenbrunner Straße (WEINKELLER 12)",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a12,1713365,POINT (16.403658149083093 48.316592619273585),607,Winterlinde,Tilia cordata,21,"21., Hagenbrunner Straße (WEINKELLER 12)",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a13,1713366,POINT (16.221377253715247 48.21015363772744),608,Eibe,Taxus baccata,14,"14., Hauptstraße 78-80(SCHULE)",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a14,1713367,POINT (16.221559156330795 48.210036727428594),608,Eibe,Taxus baccata,14,"14., Hauptstraße 78-80(SCHULE)",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a15,1713368,POINT (16.289148042032988 48.23667857196313),609,Griechische Tanne,Abies cephalonica,17,"17., Neuwaldegger Straße 16",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a16,1713369,POINT (16.289265666178224 48.236925348635715),609,Fichte,Picea abies,17,"17., Neuwaldegger Straße 16",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a17,1713370,POINT (16.289156537791797 48.23705950836057),609,Eibe,Taxus baccata,17,"17., Neuwaldegger Straße 16",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a18,1713371,POINT (16.28926165307001 48.23678248591076),609,Eibe,Taxus baccata,17,"17., Neuwaldegger Straße 16",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a19,1713372,POINT (16.28903891296529 48.2369721392136),609,Ginkgo,Ginkgo biloba,17,"17., Neuwaldegger Straße 16",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a1a,1713373,POINT (16.289046376685754 48.23709347729077),609,Abendländischer Lebensbaum,Thuja occidentalis,17,"17., Neuwaldegger Straße 16",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a1b,1713374,POINT (16.298153044207073 48.190539132688045),610,Spitzahorn,Acer platanoides,14,"14., Penzinger Straße 114",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a1c,1713375,POINT (16.298216848914265 48.191014806620636),610,Esche,Fraxinus excelsior,14,"14., Penzinger Straße 114",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a1d,1713376,POINT (16.298290925447336 48.19032837641804),610,Eibe,Taxus baccata,14,"14., Penzinger Straße 114",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a1e,1713377,POINT (16.298360738920458 48.19031580882944),610,Eibe,Taxus baccata,14,"14., Penzinger Straße 114",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a1f,1713378,POINT (16.29860406606505 48.19047111198565),610,Esche,Fraxinus excelsior,14,"14., Penzinger Straße 114",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a20,1713379,POINT (16.298730179121893 48.190903998103984),610,Spitzahorn,Acer platanoides,14,"14., Penzinger Straße 114",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a21,1713380,POINT (16.301701641869666 48.186323674438505),612,Platane,Platanus x hybrida,13,"13., Hietzinger Hauptstraße 10-16(HOTEL)",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a22,1713381,POINT (16.41447400382248 48.28942487246462),852,Schwarzpappel,Populus nigra,21,"21., Ocwirkgasse 11",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a23,1713382,POINT (16.402505865718943 48.21347759846085),743,Stieleiche,Quercus robur,2,"2., Waldsteingartenstraße -",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a24,1713383,POINT (16.355698127636703 48.22073363448457),786,Platanen Baumzeile,Platanus,9,"9., Währinger Straße 40-42",Baumzeile,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a25,1713384,POINT (16.3556264167114 48.2207829294038),786,Platanen Baumzeile,Platanus,9,"9., Währinger Straße 40-42",Baumzeile,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a26,1713385,POINT (16.355508961367903 48.22086415785721),786,Platanen Baumzeile,Platanus,9,"9., Währinger Straße 40-42",Baumzeile,?,
