FID,SHAPE,BEZIRK,KREUZUNG,ANL_TYPE,ANL_NR,SE_SDO_ROWID,SE_ANNO_CAD_DATA
AKUSTISCHEAMPELOGD.292518,POINT (16.4393033998023 48.23819798997759),22,Donaustadtstr.-Arminenstr.,geregelter Fußgängerübergang,V22007-01,292518,
AKUSTISCHEAMPELOGD.292519,POINT (16.338888977109793 48.2121805682097),17,Hernalser Gürtel-Friedmanng.,Verkehrslichtsignalanlage,V17017-01,292519,
AKUSTISCHEAMPELOGD.292521,POINT (16.335494919671177 48.19432400620932),15,Mariahilfer Str.-Zwölferg.,geregelter Fußgängerübergang,V15025-01,292521,
AKUSTISCHEAMPELOGD.292522,POINT (16.358308697513667 48.200886392165344),6,Mariahilfer Str.-Theobaldg.,Rot/Gelb Anlage,V06023-01,292522,
AKUSTISCHEAMPELOGD.292525,POINT (16.399286239243388 48.26571543679015),21,Katsushikastrasse-Ignaz Köck Strasse,Verkehrslichtsignalanlage,V21089-01,292525,
AKUSTISCHEAMPELOGD.292527,POINT (16.29802614115054 48.13310315389361),23,Brunner Str.-Siebenhirtenstr.,Verkehrslichtsignalanlage,V23074-01,292527,
AKUSTISCHEAMPELOGD.292528,POINT (16.337022383200416 48.201537119485934),15,Neubaugürtel-Hütteldorfer Str.,Verkehrslichtsignalanlage,V15001-01,292528,
AKUSTISCHEAMPELOGD.292529,POINT (16.403438252664866 48.2228453677527),2,Vorgartenstr.-Ennsg.,Verkehrslichtsignalanlage,V02025-01,292529,
AKUSTISCHEAMPELOGD.292530,POINT (16.35141634705398 48.18928902267715),5,SchönbrunnerStr.-Reinprechtsd. Str.,Verkehrslichtsignalanlage,V05003-01,292530,
AKUSTISCHEAMPELOGD.292531,POINT (16.404253221121497 48.22620456549128),2,Handelskai-Reichsbr.Rampe 300,Verkehrslichtsignalanlage,V02053-01,292531,
AKUSTISCHEAMPELOGD.292532,POINT (16.33903903304745 48.19840069620174),7,Neubaugürtel-Stollg.,Verkehrslichtsignalanlage,V07003-01,292532,
AKUSTISCHEAMPELOGD.292533,POINT (16.453042350492474 48.265593030991596),21,Julius Ficker-Str.-Fa.Merkur,Verkehrslichtsignalanlage,V21092-01,292533,
AKUSTISCHEAMPELOGD.292534,POINT (16.358328171987406 48.18150306395089),5,Wiedner Hauptstr.-Reinprechtsd. Str.,Verkehrslichtsignalanlage,V05011-01,292534,
AKUSTISCHEAMPELOGD.292535,POINT (16.3325687966358 48.181257836698926),12,Niederhofstr.-Grieshofg._Ignazg.,Verkehrslichtsignalanlage,V12046-01,292535,
AKUSTISCHEAMPELOGD.292537,POINT (16.217095281076222 48.20892945260799),14,Wientalstr.-verl. Bahnstr.,Verkehrslichtsignalanlage,V14047-01,292537,
AKUSTISCHEAMPELOGD.292538,POINT (16.325300749357403 48.19468718441045),15,Felberstr.-Holocherg.,geregelter Fußgängerübergang,V15027-01,292538,
AKUSTISCHEAMPELOGD.292540,POINT (16.358659932950133 48.199023015944526),6,Gumpendorfer Str.-Köstlerg.,geregelter Fußgängerübergang,V06018-01,292540,
AKUSTISCHEAMPELOGD.292541,POINT (16.35572194088594 48.211897354669865),8,Landesgerichtsstr.-Felderstr_Floriang.,Verkehrslichtsignalanlage,V08003-01,292541,
AKUSTISCHEAMPELOGD.292542,POINT (16.38702602695413 48.211172798249095),3,Hintere Zollamtsstr.-Radetzkystr.,Verkehrslichtsignalanlage,V03060-01,292542,
AKUSTISCHEAMPELOGD.292543,POINT (16.29316293956315 48.23214142959101),17,Dornbacher Str.-Knollg.,geregelter Fußgängerübergang,V17021-01,292543,
AKUSTISCHEAMPELOGD.292545,POINT (16.350415919754788 48.23069949886809),18,Währinger Gürtel-Marsanog.,Verkehrslichtsignalanlage,V18003-01,292545,
AKUSTISCHEAMPELOGD.292546,POINT (16.41288475231003 48.18583744807801),3,Franzosengraben-Döblerhofstr.,Verkehrslichtsignalanlage,V03063-01,292546,
AKUSTISCHEAMPELOGD.292548,POINT (16.38439898817116 48.21470655505173),2,Praterstr.-Nestroypl.,Verkehrslichtsignalanlage,V02046-01,292548,
AKUSTISCHEAMPELOGD.292549,POINT (16.390235754627433 48.21971712928619),2,Nordbahnstr.-Kleine Stadtgutg.,Verkehrslichtsignalanlage,V02017-01,292549,
AKUSTISCHEAMPELOGD.292550,POINT (16.328102077847483 48.23294189877347),18,Gersthofer Str.-Salierig.,Verkehrslichtsignalanlage,V18025-01,292550,
AKUSTISCHEAMPELOGD.292551,POINT (16.396593329253378 48.26605644683815),21,Katsushikastrasse-Horst Winter Promenade,Verkehrslichtsignalanlage,V21100-01,292551,
AKUSTISCHEAMPELOGD.292553,POINT (16.295992845143473 48.14624323383914),23,Breitenfurter Str.-Erlaaer Str._Levasseurg,Verkehrslichtsignalanlage,V23008-01,292553,
AKUSTISCHEAMPELOGD.292555,POINT (16.337420222576572 48.17105223164773),12,Wienerbergstr.-Eibesbrunnerg.,Verkehrslichtsignalanlage,V12047-01,292555,
AKUSTISCHEAMPELOGD.292556,POINT (16.47553708853492 48.25922627926358),22,Wr. Nordrandstr.-Rautenweg,Verkehrslichtsignalanlage,V22058-01,292556,
AKUSTISCHEAMPELOGD.292557,POINT (16.337371053756943 48.206153429516085),7,Lerchenf. Gürtel-Neustiftg.,Verkehrslichtsignalanlage,V07002-01,292557,
AKUSTISCHEAMPELOGD.292558,POINT (16.38189954855631 48.161578953890896),10,Altes Landgut-Grenzackerstr.,Verkehrslichtsignalanlage,V10018-01,292558,
AKUSTISCHEAMPELOGD.292561,POINT (16.413479949418626 48.17231450407395),11,Lorystr.-Grillg.,Verkehrslichtsignalanlage,V11017-01,292561,
AKUSTISCHEAMPELOGD.292562,POINT (16.39251479572499 48.16198810866965),10,Laaer-Berg-Strasse-Theodor-Sickelg.,Verkehrslichtsignalanlage,V10093-01,292562,
AKUSTISCHEAMPELOGD.292563,POINT (16.417546229552144 48.271415672524185),21,Ruthnerg.-Siemensplatz,Verkehrslichtsignalanlage,V21068-01,292563,
AKUSTISCHEAMPELOGD.292565,POINT (16.35707713160701 48.13590209906556),,Laxenburger Str.-Großgrünmarkt Inzd.,Verkehrslichtsignalanlage,V23023-01,292565,
AKUSTISCHEAMPELOGD.292566,POINT (16.360577307336627 48.21582142186007),9,Währinger Str.-Hörlg.,Verkehrslichtsignalanlage,V09010-01,292566,
AKUSTISCHEAMPELOGD.292568,POINT (16.400625464353105 48.25935924492761),21,Angerer Str.-Schleifg.,Verkehrslichtsignalanlage,V21023-01,292568,
AKUSTISCHEAMPELOGD.292570,POINT (16.337672455039318 48.1893367033256),15,Sechshauser Gürtel-Ullmannstr.,Verkehrslichtsignalanlage,V15005-01,292570,
AKUSTISCHEAMPELOGD.292571,POINT (16.41882251443473 48.171838638057565),11,Simmeringer Hptstr.-Braunhuberg.,Verkehrslichtsignalanlage,V11011-01,292571,
AKUSTISCHEAMPELOGD.292572,POINT (16.399673207180005 48.19895145575611),3,Erdbergstr.-Haidingerg.,Verkehrslichtsignalanlage,V03073-01,292572,
AKUSTISCHEAMPELOGD.292573,POINT (16.366334671549755 48.190242143613354),4,Wiedner Hauptstr.-Schönburgstr.,Verkehrslichtsignalanlage,V04011-01,292573,
AKUSTISCHEAMPELOGD.292575,POINT (16.29796556982893 48.14123364545582),23,Brunner Str.-Carlbergerg.,Verkehrslichtsignalanlage,V23031-01,292575,
AKUSTISCHEAMPELOGD.292661,POINT (16.344951471602172 48.204312364670514),7,Burgg.-Zieglerg.,Verkehrslichtsignalanlage,V07010-01,292661,
AKUSTISCHEAMPELOGD.292662,POINT (16.32055751673502 48.18861448985068),15,Winkelmannstr.-Siebeneicheng.,Verkehrslichtsignalanlage,V15037-01,292662,
AKUSTISCHEAMPELOGD.292663,POINT (16.40501069674097 48.217914543379855),2,Ausstellungsstr.-Max-Koppe-G.,Verkehrslichtsignalanlage,V02074-01,292663,
AKUSTISCHEAMPELOGD.292664,POINT (16.257085693668465 48.20205745625797),14,Linzer Str.-Bergmillerg._Hüttelbgg,Verkehrslichtsignalanlage,V14004-01,292664,
AKUSTISCHEAMPELOGD.292669,POINT (16.401113035251093 48.21792913306284),2,Ausstellungsstr.-Perspektivstr.Molkerei,Verkehrslichtsignalanlage,V02033-01,292669,
AKUSTISCHEAMPELOGD.292670,POINT (16.321410138581946 48.24329051831746),19,Krottenbachstr.-Felix-Dahn-Str.,Verkehrslichtsignalanlage,V19021-01,292670,
AKUSTISCHEAMPELOGD.292671,POINT (16.349478176221005 48.185277104138095),5,Arbeiterg.-Einsiedlerg.,Verkehrslichtsignalanlage,V05025-01,292671,
AKUSTISCHEAMPELOGD.292672,POINT (16.348644594792717 48.189502407847655),6,Linke Wienzeile-Brückeng.,Verkehrslichtsignalanlage,V06003-01,292672,
AKUSTISCHEAMPELOGD.292673,POINT (16.316615783764735 48.16561243378823),12,Altmannsdorfer Str.-Breitenfurter Str.,Verkehrslichtsignalanlage,V12039-01,292673,
AKUSTISCHEAMPELOGD.292674,POINT (16.31775844217971 48.1615325462252),12,Altmannsdorfer Str.-Sagederg.,Verkehrslichtsignalanlage,V12042-01,292674,
AKUSTISCHEAMPELOGD.292675,POINT (16.36970575096101 48.218297286408884),9,Roßauer Lände-M.-Theresien-Str.,Verkehrslichtsignalanlage,V09025-01,292675,
AKUSTISCHEAMPELOGD.292676,POINT (16.3741615288918 48.214050790164336),1,Franz Josefs-Kai-Salztorbrücke,Verkehrslichtsignalanlage,V01049-01,292676,
AKUSTISCHEAMPELOGD.292677,POINT (16.348279379570155 48.226227342076236),18,Gentzg.-Semperstr.,Verkehrslichtsignalanlage,V18022-01,292677,
AKUSTISCHEAMPELOGD.292678,POINT (16.3654420498781 48.21530317508422),1,Schottenring-Wipplingerstraße,Verkehrslichtsignalanlage,V01010-01,292678,
AKUSTISCHEAMPELOGD.292679,POINT (16.33507543556785 48.18552689717795),15,Linke Wienzeile-Stiegerg.,Verkehrslichtsignalanlage,V15014-01,292679,
AKUSTISCHEAMPELOGD.292680,POINT (16.328690917550123 48.14076597369659),23,Triester Str.-Hubermanng.,geregelter Fußgängerübergang,V23065-01,292680,
AKUSTISCHEAMPELOGD.292681,POINT (16.469477602635212 48.16722245127053),11,Landwehrstr.-Margetinstr.,Verkehrslichtsignalanlage,V11033-01,292681,
AKUSTISCHEAMPELOGD.292682,POINT (16.361263457766892 48.144302340453464),23,Laxenburger Str.-Kolbeg.,Verkehrslichtsignalanlage,V23028-01,292682,
AKUSTISCHEAMPELOGD.292683,POINT (16.331013569148375 48.143814207801405),23,Triester Str.-Goldhammerg.,Verkehrslichtsignalanlage,V23005-01,292683,
AKUSTISCHEAMPELOGD.292684,POINT (16.31901596229803 48.19909922243836),15,Hütteldorfer Str.-Johnstr.,Verkehrslichtsignalanlage,V15010-01,292684,
AKUSTISCHEAMPELOGD.292686,POINT (16.373698852299636 48.18202634356472),10,Laxenburger Str.-Columbuspl.,Verkehrslichtsignalanlage,V10041-01,292686,
AKUSTISCHEAMPELOGD.292689,POINT (16.35795979731596 48.20513962631602),7,Museumstr.-Burgg._Bellariastr.,Verkehrslichtsignalanlage,V07032-01,292689,
AKUSTISCHEAMPELOGD.292693,POINT (16.391764696857685 48.26916701693322),21,Prager Str.-Hopfeng_A.Dengler-G.,Verkehrslichtsignalanlage,V21040-01,292693,
AKUSTISCHEAMPELOGD.292699,POINT (16.473199784427024 48.163597105040836),11,Artillerieplatz-Zinnergasse,Verkehrslichtsignalanlage,V11025-01,292699,
AKUSTISCHEAMPELOGD.292701,POINT (16.334804130258377 48.17129469893996),12,Wienerbergstr.-Erschließungsstr._Euro Plaza,Verkehrslichtsignalanlage,V12075-01,292701,
AKUSTISCHEAMPELOGD.292702,POINT (16.334556218745085 48.20648788336422),16,Koppstr.-Brunneng.,Verkehrslichtsignalanlage,V16046-01,292702,
AKUSTISCHEAMPELOGD.292703,POINT (16.337538098047542 48.204212599767146),7,Neubaugürtel-Burgg.,Verkehrslichtsignalanlage,V07031-01,292703,
AKUSTISCHEAMPELOGD.292706,POINT (16.396363132525938 48.2058898053532),3,Weißgerberlände-Rasumofskyg._Rotund.Br,Verkehrslichtsignalanlage,V03026-01,292706,
AKUSTISCHEAMPELOGD.292708,POINT (16.338580461594052 48.181515342982),12,Längenfeldg.-Steinbauerg.,Verkehrslichtsignalanlage,V12031-01,292708,
AKUSTISCHEAMPELOGD.292709,POINT (16.348962189245867 48.20425236193859),7,Burgg.-Neubaug.,Verkehrslichtsignalanlage,V07017-01,292709,
AKUSTISCHEAMPELOGD.292711,POINT (16.454733208757805 48.22451548238552),22,Langobardenstr.-Konstanziag.,Verkehrslichtsignalanlage,V22065-01,292711,
AKUSTISCHEAMPELOGD.292712,POINT (16.34264821843831 48.18711681469084),12,Gaudenzd. Gürtel-Schönbrunner Str.,Verkehrslichtsignalanlage,V12001-01,292712,
AKUSTISCHEAMPELOGD.292713,POINT (16.37918851650516 48.19192994762196),3,Prinz Eugen-Str.-Belvedereg.,Verkehrslichtsignalanlage,V04029-01,292713,
AKUSTISCHEAMPELOGD.292714,POINT (16.360063203863998 48.19748210120901),6,Linke Wienzeile-Köstlerg.,Verkehrslichtsignalanlage,V06032-01,292714,
AKUSTISCHEAMPELOGD.292716,POINT (16.361731045947234 48.24466510412758),19,Heiligenst. Str.-Barawitzkag._Gunoldstr,Verkehrslichtsignalanlage,V19015-01,292716,
AKUSTISCHEAMPELOGD.292718,POINT (16.37999351507383 48.2114765373304),1,Franz Josefs-Kai-Dominikaner Bastei,Verkehrslichtsignalanlage,V01028-01,292718,
AKUSTISCHEAMPELOGD.292719,POINT (16.394918294101664 48.20997689285093),3,Weißgerberlände-Custozzag.,Verkehrslichtsignalanlage,V03052-01,292719,
AKUSTISCHEAMPELOGD.292720,POINT (16.332278241063435 48.1878673317197),15,Sechshauser Str.-Arnsteing.,Verkehrslichtsignalanlage,V15053-01,292720,
AKUSTISCHEAMPELOGD.292723,POINT (16.42170712986217 48.21126463009903),2,Engerthstr.-Meiereistr.,Verkehrslichtsignalanlage,V02001-01,292723,
AKUSTISCHEAMPELOGD.292724,POINT (16.320302894165142 48.186082314804),15,Linke Wienzeile-Schönbr.Br._Winckelman,Verkehrslichtsignalanlage,V15020-01,292724,
AKUSTISCHEAMPELOGD.292725,POINT (16.394115960760825 48.2538053981653),21,Floridsdorfer Hauptstr.-Jedleseer Str.,Verkehrslichtsignalanlage,V21006-01,292725,
AKUSTISCHEAMPELOGD.292726,POINT (16.291093348151513 48.233530084151404),17,Dornbacher Str.-ON 125,Verkehrslichtsignalanlage,V17014-01,292726,
AKUSTISCHEAMPELOGD.292728,POINT (16.364702905279554 48.22692869055726),9,Roßauer Lände-Friedensbrücke,Verkehrslichtsignalanlage,V09017-01,292728,
AKUSTISCHEAMPELOGD.292731,POINT (16.385146795273187 48.188388718387415),3,Landstr. Gürtel-Fasang._Schweizerg,Verkehrslichtsignalanlage,V03002-01,292731,
AKUSTISCHEAMPELOGD.292732,POINT (16.32945429474582 48.18400513893438),15,Linke Wienzeile-Ullmannstr._Lobkow.Br,Verkehrslichtsignalanlage,V15012-01,292732,
AKUSTISCHEAMPELOGD.292733,POINT (16.330547882428853 48.20020769777551),15,Hütteldorfer Str.-M.Rüdiger-Str._Tanneng,Verkehrslichtsignalanlage,V15017-01,292733,
AKUSTISCHEAMPELOGD.292734,POINT (16.31882550800374 48.15787127113818),12,Altmannsdorfer Str.-Kirchfeldg.,Verkehrslichtsignalanlage,V12062-01,292734,
AKUSTISCHEAMPELOGD.292736,POINT (16.390417552402962 48.217796095291256),2,Praterstern-Praterstr.,Verkehrslichtsignalanlage,V02003-01,292736,
AKUSTISCHEAMPELOGD.292737,POINT (16.382803008505388 48.14009456170681),10,Himberger Str.-Franzosenweg,Verkehrslichtsignalanlage,V10070-01,292737,
AKUSTISCHEAMPELOGD.292738,POINT (16.258281981473534 48.13326243131643),23,Ketzerg.-Hochstr.,Verkehrslichtsignalanlage,V23017-01,292738,
AKUSTISCHEAMPELOGD.292739,POINT (16.389968871581534 48.22085147710824),2,Nordbahnstr.-Mühlfeldg.,Verkehrslichtsignalanlage,V02016-01,292739,
AKUSTISCHEAMPELOGD.292740,POINT (16.389963082957504 48.140483549515025),10,Oberlaaer Str.-Kurt - Tichyg.,Verkehrslichtsignalanlage,V10100-01,292740,
AKUSTISCHEAMPELOGD.292741,POINT (16.364800535144262 48.215931152716685),9,M.Theresien Str.-Wipplingerstr.,Verkehrslichtsignalanlage,V09007-01,292741,
AKUSTISCHEAMPELOGD.292742,POINT (16.27794424593769 48.19248590192151),14,Hadikg.-Keferg._Preindlsteg,geregelter Fußgängerübergang,V14048-01,292742,
AKUSTISCHEAMPELOGD.292743,POINT (16.410082396691056 48.19634897370382),3,Schlachthausg.-Stadionbr._L.Kößler Pl,Verkehrslichtsignalanlage,V03028-01,292743,
AKUSTISCHEAMPELOGD.292744,POINT (16.348375208598377 48.223405177743935),18,Währinger Gürtel-Schopenhauer Str.AKH,Verkehrslichtsignalanlage,V18021-01,292744,
AKUSTISCHEAMPELOGD.292746,POINT (16.300138135619306 48.20822728928924),16,Flötzersteig-ON 4,geregelter Fußgängerübergang,V16047-01,292746,
AKUSTISCHEAMPELOGD.292747,POINT (16.37753066129811 48.22967283586261),20,Rauscherstr.-Wasnerg.,Verkehrslichtsignalanlage,V20010-01,292747,
AKUSTISCHEAMPELOGD.292748,POINT (16.33767635309034 48.202688785535265),7,Neubaugürtel-Kandlg.,geregelter Fußgängerübergang,V07041-01,292748,
AKUSTISCHEAMPELOGD.292749,POINT (16.365669155812927 48.20003145884548),6,Linke Wienzeile-Getreidemarkt,Verkehrslichtsignalanlage,V06039-01,292749,
AKUSTISCHEAMPELOGD.292750,POINT (16.324321276518248 48.20805381679157),16,Koppstr.-Panikeng.,Verkehrslichtsignalanlage,V16023-01,292750,
AKUSTISCHEAMPELOGD.292751,POINT (16.380664854150744 48.20734936335438),1,Stubenring-Dr. K. Lueger Pl.,Verkehrslichtsignalanlage,V01023-01,292751,
AKUSTISCHEAMPELOGD.292752,POINT (16.368353352076053 48.22864992120488),20,Wallensteinstr.-Klosterneub. Str.,Verkehrslichtsignalanlage,V20014-01,292752,
AKUSTISCHEAMPELOGD.292754,POINT (16.371068257601088 48.22993182654831),20,Wallensteinplatz-,Verkehrslichtsignalanlage,V20013-01,292754,
AKUSTISCHEAMPELOGD.292755,POINT (16.347416391095265 48.169318770041286),10,Wienerbergstr.-Eschenallee,geregelter Fußgängerübergang,V10086-01,292755,
AKUSTISCHEAMPELOGD.292756,POINT (16.3875334711818 48.18540191581115),3,Ghegastr.-Heeresmuseumstr.,geregelter Fußgängerübergang,V03088-01,292756,
AKUSTISCHEAMPELOGD.292757,POINT (16.483745597120656 48.21781397457891),22,Asperner Heldenplatz-,Verkehrslichtsignalanlage,V22025-01,292757,
AKUSTISCHEAMPELOGD.292758,POINT (16.367310713517593 48.20131876623779),1,Operng.-Friedrichstr._Nibelung,Verkehrslichtsignalanlage,V01005-01,292758,
AKUSTISCHEAMPELOGD.292759,POINT (16.350557916394056 48.1947381409817),6,Gumpendorfer Str.-Hofmühlg.,Verkehrslichtsignalanlage,V06013-01,292759,
AKUSTISCHEAMPELOGD.292760,POINT (16.43964374482777 48.266039080596244),21,Julius Ficker-Str.-Großfeldstr.,Verkehrslichtsignalanlage,V21050-01,292760,
AKUSTISCHEAMPELOGD.292762,POINT (16.374890598276306 48.200104325917614),1,Lothringerstr.-Schwarzenbrgpl_P.Eug.S,Verkehrslichtsignalanlage,V01046-01,292762,
AKUSTISCHEAMPELOGD.292763,POINT (16.3823662913714 48.14979124535512),10,Favoritenstr.-Fr. Koci-Str.,Verkehrslichtsignalanlage,V10033-01,292763,
AKUSTISCHEAMPELOGD.292765,POINT (16.35827019286309 48.21433293758051),9,Universitätsstr.-Ebendorferstr.,Verkehrslichtsignalanlage,V09004-01,292765,
AKUSTISCHEAMPELOGD.292766,POINT (16.412779044615966 48.17771768212864),11,Simmeringer Hptstr.-Kopalg._Hauffg.,Verkehrslichtsignalanlage,V11005-01,292766,
AKUSTISCHEAMPELOGD.292767,POINT (16.349238983289744 48.22609287839369),18,Währinger Gürtel-Gentzg.,Verkehrslichtsignalanlage,V18006-01,292767,
AKUSTISCHEAMPELOGD.292768,POINT (16.351768756483555 48.219011048702),9,Lazarettg.-Spitalg._Senseng.,Verkehrslichtsignalanlage,V09020-01,292768,
AKUSTISCHEAMPELOGD.292769,POINT (16.403223913879472 48.267151477861574),21,Brünner Str.-Karl Schäfer-Str.,Verkehrslichtsignalanlage,V21033-01,292769,
AKUSTISCHEAMPELOGD.292770,POINT (16.38056260183724 48.24575698472052),20,Friedrich Engels Platz-Nördl. Wehlistr.,Verkehrslichtsignalanlage,V20042-01,292770,
AKUSTISCHEAMPELOGD.292771,POINT (16.452920074287476 48.225708936753406),22,Langobardenstr.-Stadlauer Strasse,Verkehrslichtsignalanlage,V22018-01,292771,
AKUSTISCHEAMPELOGD.292773,POINT (16.280727544829947 48.197579160310944),14,Hütteldorfer Str.-Waidhausenstr.,Verkehrslichtsignalanlage,V14013-01,292773,
AKUSTISCHEAMPELOGD.292775,POINT (16.375934146029348 48.17321326781335),10,Davidg.-Leibnizg.,Verkehrslichtsignalanlage,V10058-01,292775,
AKUSTISCHEAMPELOGD.292776,POINT (16.329548050118937 48.23002238151613),18,Währinger Str.-Simonyg.,Verkehrslichtsignalanlage,V18019-01,292776,
AKUSTISCHEAMPELOGD.292778,POINT (16.390957138077155 48.218894808817396),2,Praterstern-Nordbahnstr.,Verkehrslichtsignalanlage,V02052-01,292778,
AKUSTISCHEAMPELOGD.292779,POINT (16.377334206875982 48.199897468135674),3,Am Heumarkt-Lisztstr.,Verkehrslichtsignalanlage,V03016-01,292779,
AKUSTISCHEAMPELOGD.292780,POINT (16.38995381581349 48.27322314697219),21,Prager Str.-Josef Zapf Gasse,Verkehrslichtsignalanlage,V21099-01,292780,
AKUSTISCHEAMPELOGD.292781,POINT (16.393931081014586 48.19954974822645),3,Landstr. Hptstr.-Neulinggasse,Verkehrslichtsignalanlage,V03008-01,292781,
AKUSTISCHEAMPELOGD.292783,POINT (16.394588446260745 48.12426368226991),10,Himberger Str.-Leopoldsd.Str.,Verkehrslichtsignalanlage,V10076-01,292783,
AKUSTISCHEAMPELOGD.292784,POINT (16.357341677163088 48.20562916317715),7,Neustiftg.-Museumstr._Volksgstr.,Verkehrslichtsignalanlage,V07024-01,292784,
AKUSTISCHEAMPELOGD.292785,POINT (16.416913959282986 48.23101599674595),22,Schüttaustr.-Zufahrt Tunnel Kaisermühlen,Verkehrslichtsignalanlage,V22040-01,292785,
AKUSTISCHEAMPELOGD.292786,POINT (16.393517937154495 48.21795062170074),2,Praterstern-Ausstellungsstr.,Verkehrslichtsignalanlage,V02004-01,292786,
AKUSTISCHEAMPELOGD.292577,POINT (16.382646844038906 48.143332761457074),10,Himberger Str.-Ober Laaer Str.,Verkehrslichtsignalanlage,V10034-01,292577,
AKUSTISCHEAMPELOGD.292579,POINT (16.34778693281873 48.191348901718506),6,Gumpendorfer Str.-Brückeng._Stumperg.,Verkehrslichtsignalanlage,V06015-01,292579,
AKUSTISCHEAMPELOGD.292580,POINT (16.40962953564296 48.25879716686753),21,Leopoldauer Str.-Pilzg.,Verkehrslichtsignalanlage,V21045-01,292580,
AKUSTISCHEAMPELOGD.292581,POINT (16.33421007523273 48.184172861238594),12,Schönbrunner Str.-Giersterg.,Verkehrslichtsignalanlage,V12037-01,292581,
AKUSTISCHEAMPELOGD.292582,POINT (16.411368738664425 48.26061220662043),21,Katsushikastr.-Steinheilg.,Verkehrslichtsignalanlage,V21051-01,292582,
AKUSTISCHEAMPELOGD.292583,POINT (16.403891136568635 48.185420957446595),3,Simmeringer Hptstr.-Rinnböckstr.,Verkehrslichtsignalanlage,V11009-01,292583,
AKUSTISCHEAMPELOGD.292584,POINT (16.33680085282815 48.18358156864759),12,Längenfeldg.-Arndtstr.,Verkehrslichtsignalanlage,V12030-01,292584,
AKUSTISCHEAMPELOGD.292585,POINT (16.33170227826771 48.17465566902317),12,Eichenstr.-Vivenotg.,Verkehrslichtsignalanlage,V12019-01,292585,
AKUSTISCHEAMPELOGD.292586,POINT (16.342959821511204 48.14855836395286),23,Sterngasse-R.Strauss-G.,Verkehrslichtsignalanlage,V23039-01,292586,
AKUSTISCHEAMPELOGD.292587,POINT (16.36731169849563 48.22155907536063),9,Roßauer Lände-Moserg.,Verkehrslichtsignalanlage,V09027-01,292587,
AKUSTISCHEAMPELOGD.292588,POINT (16.367118595983552 48.22337413470891),9,Roßauer Lände-Seeg.,Verkehrslichtsignalanlage,V09036-01,292588,
AKUSTISCHEAMPELOGD.292589,POINT (16.37576892761856 48.214577204400825),2,Obere Donaustr.-Salztorbr._Hollandstr.,Verkehrslichtsignalanlage,V02040-01,292589,
AKUSTISCHEAMPELOGD.292590,POINT (16.40035375441258 48.22532250910324),2,Vorgartenstr.-Walcherstr.,Verkehrslichtsignalanlage,V02070-01,292590,
AKUSTISCHEAMPELOGD.292593,POINT (16.434651704371106 48.24182032834034),22,Wagramer Str.-Donaustadtstr._Siebeck,Verkehrslichtsignalanlage,V22012-01,292593,
AKUSTISCHEAMPELOGD.292596,POINT (16.422817981293157 48.30119579140654),21,Brünner Str.-Eberescheng.,Verkehrslichtsignalanlage,V21086-01,292596,
AKUSTISCHEAMPELOGD.292597,POINT (16.32036292566734 48.20608157813124),16,Gablenzg.-Brüßlg._Auf d.Schmelz,Verkehrslichtsignalanlage,V16043-01,292597,
AKUSTISCHEAMPELOGD.292598,POINT (16.316994919959143 48.13732692122234),23,Perfektastr.-Hetmanekg._Dernjacg.,Verkehrslichtsignalanlage,V23073-01,292598,
AKUSTISCHEAMPELOGD.292600,POINT (16.385341054186938 48.17706216379196),10,Gudrunstr.-Steudelg.,Verkehrslichtsignalanlage,V10052-01,292600,
AKUSTISCHEAMPELOGD.292601,POINT (16.313808320208622 48.140872505832384),23,Carlbergerg.-Canevalestr. _ Ziviltechniker,Verkehrslichtsignalanlage,V23071-01,292601,
AKUSTISCHEAMPELOGD.292603,POINT (16.3904937750354 48.20259419488539),3,Landstr. Hptstr.-Sechskrügelg.Rasumofsk,Verkehrslichtsignalanlage,V03021-01,292603,
AKUSTISCHEAMPELOGD.292605,POINT (16.318061683766057 48.20901527785921),16,Koppstr.-Possingerg.,Verkehrslichtsignalanlage,V16014-01,292605,
AKUSTISCHEAMPELOGD.292610,POINT (16.35505444245916 48.25102509890012),19,Hohe Warte-Geweyg._Reimersg.,Verkehrslichtsignalanlage,V19017-01,292610,
AKUSTISCHEAMPELOGD.292611,POINT (16.412271726564825 48.21794593689291),2,Engerthstrasse-Machstrasse,Verkehrslichtsignalanlage,V02019-01,292611,
AKUSTISCHEAMPELOGD.292612,POINT (16.33670445499006 48.197844859625256),15,Felberstr.-Pelzg.,Verkehrslichtsignalanlage,V15056-01,292612,
AKUSTISCHEAMPELOGD.292613,POINT (16.377316906565305 48.18720746872813),4,Wiedner Gürtel-Argentinierstr.,Verkehrslichtsignalanlage,V04014-01,292613,
AKUSTISCHEAMPELOGD.292615,POINT (16.351429795601902 48.20419702152423),7,Burgg.-Kircheng.,Verkehrslichtsignalanlage,V07021-01,292615,
AKUSTISCHEAMPELOGD.292616,POINT (16.48120096070194 48.2198884387459),22,Erzherzog Karl-Str.-Oberdorfstr._Hausfeldstr,Verkehrslichtsignalanlage,V22053-01,292616,
AKUSTISCHEAMPELOGD.292617,POINT (16.312435479137868 48.136668389150316),23,Perfektastr.-Lemböckg.,Verkehrslichtsignalanlage,V23060-01,292617,
