FID,SHAPE,BEZIRK,KREUZUNG,ANL_TYPE,ANL_NR,SE_SDO_ROWID,SE_ANNO_CAD_DATA
AKUSTISCHEAMPELOGD.293124,POINT (16.34396085424609 48.1907911050319),6,Gumpendorfer Str.-Sonnenuhrg.,geregelter Fußgängerübergang,V06026-01,293124,
AKUSTISCHEAMPELOGD.293126,POINT (16.36461741194821 48.199467938458305),6,Linke Wienzeile-Millöckerg.,Verkehrslichtsignalanlage,V06029-01,293126,
AKUSTISCHEAMPELOGD.293127,POINT (16.351519311590245 48.20526549468936),7,Neustiftg.-Kircheng._Kellermg.,Verkehrslichtsignalanlage,V07020-01,293127,
AKUSTISCHEAMPELOGD.293128,POINT (16.36438988298533 48.170011211312534),10,Neilreichg.-Troststr.,Verkehrslichtsignalanlage,V10036-01,293128,
AKUSTISCHEAMPELOGD.293129,POINT (16.34355541153086 48.22200489954453),18,Währinger Gürtel-Kreuzg._Kutschkerg.,Verkehrslichtsignalanlage,V18001-01,293129,
AKUSTISCHEAMPELOGD.293132,POINT (16.45550080340969 48.22881757100595),22,Erzherzog Karl-Str.-Stadlauer Strasse_Genochp,Verkehrslichtsignalanlage,V22005-01,293132,
AKUSTISCHEAMPELOGD.293133,POINT (16.345982878854674 48.284584085061255),19,Heiligenst. Str.-Wr.Schüttau_Kuchelau.H,Verkehrslichtsignalanlage,V19032-01,293133,
AKUSTISCHEAMPELOGD.293135,POINT (16.37726454591147 48.213030386294086),2,Obere Donaustr.-Marienbr._Lilienbrunng,Verkehrslichtsignalanlage,V02039-01,293135,
AKUSTISCHEAMPELOGD.293136,POINT (16.31343382491286 48.188059202810095),14,Hadikg.-Schönbr.Schloßbrücke,Verkehrslichtsignalanlage,V14027-01,293136,
AKUSTISCHEAMPELOGD.293137,POINT (16.446897287434744 48.26237157753646),21,Aderklaaer Str.-Kürschnerg._Sebaldg.,Verkehrslichtsignalanlage,V21030-01,293137,
AKUSTISCHEAMPELOGD.293138,POINT (16.360648188097496 48.210393373631696),1,Universitätsring-Burgtheater,Verkehrslichtsignalanlage,V01012-01,293138,
AKUSTISCHEAMPELOGD.293139,POINT (16.355844405714468 48.275366590962385),19,Heiligenst. Str.-Bloschg._Kahlenb.Dorf,Verkehrslichtsignalanlage,V19020-01,293139,
AKUSTISCHEAMPELOGD.293141,POINT (16.425958126721774 48.16798308020478),11,Kaiser-Ebersd.-Str.-Geringerg.,Verkehrslichtsignalanlage,V11021-01,293141,
AKUSTISCHEAMPELOGD.293143,POINT (16.350841277468326 48.1903351024677),6,Mollardg.-Grabnerg._Aniling.,Verkehrslichtsignalanlage,V06033-01,293143,
