FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,FLAECHE,OEFF_ZEITEN,SPIELEN_IM_PARK,WASSER_IM_PARK,HUNDE_IM_PARK,TELEFON,WEBLINK1,SE_ANNO_CAD_DATA
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52e6,1257008,POINT (16.399715035299202 48.25501336573423),PA Bodenstedtgasse,21,15.065 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52e7,1257009,POINT (16.394834883241913 48.26086815267091),PA Arnoldgasse,21,2.341 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52e8,1257010,POINT (16.402396835811274 48.25096155256438),PA An der oberen Alten Donau,21,2.569 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52e9,1257011,POINT (16.410127377459755 48.24942328535297),PA Fultonstraße,21,2.085 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52ea,1257012,POINT (16.386527851353865 48.29182186098504),Alois-Heidel-Park,21,1.867 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52eb,1257013,POINT (16.454533751019486 48.27013104811231),PA Kurze Zwerchäcker,21,7.178 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52ec,1257014,POINT (16.37840163067326 48.23993057791808),PA Stromstraße,20,1.468 m²,Ballspiel: 6:30-20:30,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52ed,1256642,POINT (16.326657877006188 48.15710788990319),PA Lichtensterngasse,12,12.283 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52ee,1256643,POINT (16.339003446297422 48.17810445414615),Wilhelmsdorfer Park,12,13.902 m²,Wint: 6:00-21:30|Somm: 6:00-22:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52ef,1256644,POINT (16.33525979698443 48.17863852394184),PA Vierthalergasse,12,2.856 m²,Wint: 6:00-21:30|Somm: 6:00-22:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52f0,1256645,POINT (16.327745514383 48.18233987463517),Theresienbadpark,12,5.803 m²,0:00-24:00,Nein,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
