FID,OBJECTID,SHAPE,STATION,LINIE,BEMERKUNG,ANLAGEN_ID,GRUPPEN_ID,BETREIBER,SE_ANNO_CAD_DATA
AUFZUGOGD.1620,1620,POINT (16.450077960553156 48.258202002964005),RENNBAHNWEG,U1,Aufzug fährt vom U1 Mittelbahnsteig in das stadtauswärtige Aufnahmegebäude Ausgang Wagramerstraße,RB A02,,Wiener Linien,
AUFZUGOGD.1621,1621,POINT (16.44926098340932 48.25705608125626),RENNBAHNWEG,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Rennbahnweg,RB A01,,Wiener Linien,
AUFZUGOGD.1622,1622,POINT (16.45169552999062 48.26413739158861),ADERKLAAER STRASSE,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadtauswärtige Aufnahmegebäude Ausgang Baldassgasse,AK A02,,Wiener Linien,
AUFZUGOGD.1623,1623,POINT (16.45156670896908 48.262847869478364),ADERKLAAER STRASSE,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Aderklaaer Straße,AK A01,,Wiener Linien,
AUFZUGOGD.1624,1624,POINT (16.44756674600681 48.271732802368696),GROSSFELDSIEDLUNG,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadtauswärtige Aufnahmegebäude Ausgang Gitlbauergasse/Kürschnergasse,GF A02,,Wiener Linien,
AUFZUGOGD.1625,1625,POINT (16.448180899997507 48.27039179322751),GROSSFELDSIEDLUNG,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Dopschstraße,GF A01,,Wiener Linien,
AUFZUGOGD.1626,1626,POINT (16.452669637457554 48.277525615984736),LEOPOLDAU,U1,Aufzug fährt vom Zwischengeschoss (Parkhaus) in das stadtauswärtige Aufnahmegebäude Ausgang Schererstraße,LU A04,,Wiener Linien,
AUFZUGOGD.1627,1627,POINT (16.451055330633263 48.27720601827523),LEOPOLDAU,U1,Aufzug fährt von der Passage in das Aufnahmegebäude Ausgang Schererstraße,LU A03,,Wiener Linien,
AUFZUGOGD.1628,1628,POINT (16.452574933461616 48.27768116776275),LEOPOLDAU,U1,Aufzug fährt vom Zwischengeschoss (Parkhaus) auf den U1-Mittelbahnsteig,LU A02,,Wiener Linien,
AUFZUGOGD.1629,1629,POINT (16.45133977159016 48.27741115705273),LEOPOLDAU,U1,Aufzug fährt von der Passage auf den U1-Mittelbahnsteig,LU A01,,Wiener Linien,
AUFZUGOGD.1630,1630,POINT (16.39290990499657 48.219705887004146),PRATERSTERN,U1,Aufzug fährt vom U1-Seitenbahnsteig (Fahrtrichtung 1 nach Leopoldau) in das Zwischengeschoß (Übergang zur U2) und in das Aufnahmegebäude Ausgang Lassallestraße,PR A02,,Wiener Linien,
AUFZUGOGD.1631,1631,POINT (16.39299289715043 48.219625737241536),PRATERSTERN,U1,Aufzug fährt vom U1-Seitenbahnsteig (Fahrtrichtung 2 nach Reumannplatz) in das Zwischengeschoß (Übergang zur U2) und in das Aufnahmegebäude Ausgang Lassallestraße,PR A01,,Wiener Linien,
AUFZUGOGD.1632,1632,POINT (16.40050895580431 48.22310290981805),VORGARTENSTRASSE,U1,Aufzug fährt vom U1-Seitenbahnsteig (Fahrtrichtung 1 nach Leopoldau) in das stadteinwärtige Aufnahmegebäude Ausgang Radingerstraße,VS A01,,Wiener Linien,
AUFZUGOGD.1633,1633,POINT (16.40013662207934 48.22339816919162),VORGARTENSTRASSE,U1,Aufzug fährt vom U1-Seitenbahnsteig (Fahrtrichtung 2 nach Reumannplatz) in das stadteinwärtige Aufnahmegebäude Ausgang Radingerstraße,VS A02,,Wiener Linien,
AUFZUGOGD.1635,1635,POINT (16.371567845083753 48.20805362160386),STEPHANSPLATZ,U1,Aufzug fährt vom U1-Bahnsteig (beide Fahrtrichtungen) auf den U3-Seitenbahnsteig (Fahrtrichtung 2 nach Ottakring) und auf den U3-Seitenbahnsteig (Fahrtrichtung nach Simmering) und in das Zwischengeschoß,SZ A01,,Wiener Linien,
AUFZUGOGD.1636,1636,POINT (16.43269450471011 48.24283477220358),KAGRAN,U1,Aufzug fährt vom Aufnahmegebäude Ausgang Anton-Sattler-Gasse auf den U1-Mittelbahnsteig,ZK A01,,Wiener Linien,
AUFZUGOGD.1637,1637,POINT (16.44296951752445 48.249916729843555),KAGRANER PLATZ,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Donaufelderstraße/Wagramerstraße.,KT A02,,Wiener Linien,
AUFZUGOGD.1638,1638,POINT (16.35671805856081 48.20585640220182),VOLKSTHEATER,U2,Aufzug fährt vom U2 Bahnsteig Fahrtrichtung Karlsplatz an die Oberfläche Ausgang Neustiftgasse.,VT A07,,Wiener Linien,
AUFZUGOGD.1639,1639,POINT (16.369401055670984 48.20210935616144),KARLSPLATZ,U1,Aufzug fährt vom U1 Bahnsteig in die Karlsplatzpassage.,KP A04,,Wiener Linien,
AUFZUGOGD.1640,1640,POINT (16.36625133400449 48.20067025626951),KARLSPLATZ,U1,Aufzug fährt von der Passage (Ostpassage) an die Oberfläche Ausgang Secession.,KP A07,,Wiener Linien,
AUFZUGOGD.1641,1641,POINT (16.37360089062511 48.186469534963365),SÜDTIROLER PLATZ - HAUPTBAHNHOF,U1,Aufzug fährt vom Bahnsteig ins Zwischengeschoß zum alten Südtirolerplatz und ins obere Zwischengeschoß Aufgang Favoritenstraße.,SL A01,,Wiener Linien,
AUFZUGOGD.1642,1642,POINT (16.357570720787272 48.2059000937212),VOLKSTHEATER,U2,Aufzug fährt vom U2 Bahnsteig Fahrtrichtung Seestadt an die Oberfläche Ausgang Volksgartenstraße.,VT A08,,Wiener Linien,
