FID,OBJECTID,SHAPE,STATION,LINIE,BEMERKUNG,ANLAGEN_ID,GRUPPEN_ID,BETREIBER,SE_ANNO_CAD_DATA
AUFZUGOGD.1805,1805,POINT (16.342012247792326 48.216857038807156),ALSER STRASSE,U6,Aufzug fährt vom Ausgang zu Bahnsteig der Linie U6 Gleis 1 Fahrtrichtung Floridsdorf.,AS A01,,Wiener Linien,
AUFZUGOGD.1806,1806,POINT (16.32786861312508 48.16518687602321),TSCHERTTEGASSE,U6,Aufzug fährt vom Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten zum Ausgang Tschertegasse.,TE A01,,Wiener Linien,
AUFZUGOGD.1807,1807,POINT (16.33735132512147 48.20270339624447),BURGGASSE-STADTHALLE,U6,Aufzug fährt vom Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf an die Oberfläche.,BU A01,,Wiener Linien,
AUFZUGOGD.1808,1808,POINT (16.337175727029347 48.20269467364198),BURGGASSE-STADTHALLE,U6,Aufzug fährt vom Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten an die Oberfläche.,BU A02,,Wiener Linien,
AUFZUGOGD.1809,1809,POINT (16.35805999184805 48.235448599322275),SPITTELAU,U6,Aufzug fährt vom ÖBB-Mittelbahnsteig über Zwischengeschoss auf den U6-Bahnsteig (Fahrtrichtung 1 nach Floridsdorf),AU A04,,Wiener Linien,
AUFZUGOGD.1810,1810,POINT (16.358432816721972 48.2355254633422),SPITTELAU,U6,Aufzug fährt vom U4-Mittelbahnsteig über Zwischengeschoss auf den U6-Bahnsteig (Fahrtrichtung 1 nach Floridsdorf),AU A02,,Wiener Linien,
AUFZUGOGD.1811,1811,POINT (16.35841153666381 48.23573327190714),SPITTELAU,U6,Aufzug fährt vom U4-Mittelbahnsteig über Zwischengeschoss auf den U6-Bahnsteig (Fahrtrichtung 2 nach Siebenhirten),AU A03,,Wiener Linien,
AUFZUGOGD.1812,1812,POINT (16.358846491677056 48.23400809019586),SPITTELAU,U6,Aufzug fährt vom U4-Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Verkehrsamt,AU A01,,Wiener Linien,
AUFZUGOGD.1813,1813,POINT (16.358104033098424 48.23571350202892),SPITTELAU,U6,Aufzug fährt vom ÖBB-Mittelbahnsteig über Zwischengeschoss auf den U6-Bahnsteig (Fahrtrichtung 2 nach Siebenhirten),AU A05,,Wiener Linien,
AUFZUGOGD.1814,1814,POINT (16.357244487906655 48.235758872679824),SPITTELAU,U6,Aufzug fährt vom Aufnahmegebäude Ausgang Heiligenstädter Straße in das Zwischengeschoss,AU A06,,Wiener Linien,
AUFZUGOGD.1815,1815,POINT (16.352613105580215 48.23128833219567),NUSSDORFER STRASSE,U6,Aufzug fährt vom Ausgang zu Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf.,NS A01,,Wiener Linien,
AUFZUGOGD.1816,1816,POINT (16.352299728912175 48.2313768120626),NUSSDORFER STRASSE,U6,Aufzug fährt vom Ausgang zu Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten.,NS A02,,Wiener Linien,
AUFZUGOGD.1817,1817,POINT (16.339027123339864 48.21139630975804),JOSEFSTÄDTER STRASSE,U6,Aufzug fährt von Ausgang zu Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten.,JS A02,,Wiener Linien,
AUFZUGOGD.1818,1818,POINT (16.33929888086684 48.211527965955554),JOSEFSTÄDTER STRASSE,U6,Aufzug fährt vom Ausgang zu Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf.,JS A01,,Wiener Linien,
AUFZUGOGD.1819,1819,POINT (16.34934553342277 48.22549541785346),WÄHRINGER STRASSE - VOLKSOPER,U6,Aufzug fährt vom Ausgang zu Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten.,WA A02,,Wiener Linien,
AUFZUGOGD.1820,1820,POINT (16.34963622702467 48.225649254904056),WÄHRINGER STRASSE - VOLKSOPER,U6,Aufzug fährt vom Ausgang zu Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf.,WA A01,,Wiener Linien,
AUFZUGOGD.1821,1821,POINT (16.324445458212637 48.16123665279571),AM SCHÖPFWERK,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten.,PW A02,,Wiener Linien,
AUFZUGOGD.1822,1822,POINT (16.324656495577898 48.161177980227976),AM SCHÖPFWERK,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf.,PW A01,,Wiener Linien,
AUFZUGOGD.1823,1823,POINT (16.35963744075953 48.17989639645979),,,"Aufzug fährt vom Bahnsteig der Linien 1, 6 Richtung Prater Hauptallee (1), Burggasse (6) an die Oberfläche Ausgang Evangelischer Friedhof.",MP A04,,Wiener Linien,
AUFZUGOGD.1824,1824,POINT (16.36006496565054 48.18114632060994),,,"Aufzug fährt vom Bahnsteig Linien 1, 18, 62, WLB Richtung Stefan Fadinger Platz (1), Burggasse (18), Lainz (62), Baden (WLB) an die Oberfläche.",MP A01,,Wiener Linien,
AUFZUGOGD.1825,1825,POINT (16.349413530012242 48.18061425129653),,,"Aufzug fährt vom Bahnsteig der Linien 6,18,62, WLB Fahrtrichtung Burggasse (6,18), Lainz (62), Baden (WLB) an die Oberfläche.",EI A02,,Wiener Linien,
AUFZUGOGD.1826,1826,POINT (16.364514395467438 48.18262295679385),,,"Aufzug fährt vom Bahnsteig der Linien 1,18,62, WLB Richtung Prater Hauptallee (1), Schlachthausgasse (18), Kärnter Ring - Oper (62, WLB) zur Oberfläche Ausgang Landgutgasse (10. Bezirk).",KL A03,,Wiener Linien,
AUFZUGOGD.1827,1827,POINT (16.36439723565812 48.183086981208504),,,Aufzug fährt vom Bahnsteig Linie 18 Richtung Burggasse an die Oberfläche Ausgang Kliebergasse (5. Bezirk).,KL A02,,Wiener Linien,
AUFZUGOGD.1828,1828,POINT (16.36407289763317 48.18294381675702),,,"Aufzug fährt vom Bahnsteig der Linien 1, 62, WLB Richtung Stefan Fadinger Platz (1), Lainz(62), Baden (WLB) an die Oberfläche Ausgang Kliebergasse / Gassergasse (5. Bezirk).",KL A01,,Wiener Linien,
AUFZUGOGD.1829,1829,POINT (16.362997917775516 48.185726143500816),,62,"Aufzug fährt vom Bahnsteig der Linien 1, 62, WLB Richtung Prater Hauptallee (1), Kärnter Ring Oper (62, WLB) an die Oberfläche.",LG A01,,Wiener Linien,
AUFZUGOGD.1830,1830,POINT (16.453160422667747 48.22954971037528),,,Erzherzog-Karl-Straße,erzhe A01,,Wiener Linien,
AUFZUGOGD.1831,1831,POINT (16.34394499493761 48.220977248746),MICHELBEUERN - ALLG.KRANKENHAUS,U6,Aufzug fährt vom Mittelbahnsteig in die Passage zum AKH oder über den Gürtel.,MB A02,,Wiener Linien,
AUFZUGOGD.1832,1832,POINT (16.343957287317135 48.22097751500795),MICHELBEUERN - ALLG.KRANKENHAUS,U6,Aufzug fährt vom Mittelbahnsteig in die Passage zum AKH oder über den Gürtel.,MB A01,,Wiener Linien,
AUFZUGOGD.1833,1833,POINT (16.362784462334833 48.18580392189131),,62,"Aufzug fährt vom Bahnsteig der Linien 1, 62, WLB Richtung Stefan Fadinger Platz (1), Lainz (62), Baden (WLB) an die Oberfläche.",LG A02,,Wiener Linien,
AUFZUGOGD.1834,1834,POINT (16.358674702012706 48.18047876552192),,,"Aufzug fährt vom Bahnsteig der Linien 6, 18, 62 WLB Richtung Kaiserebersdorf (6), Schlachthausgasse (18), Kärntner Ring - Oper (62, WLB) an die Oberfläche (Anker).",MP A03,,Wiener Linien,
AUFZUGOGD.1835,1835,POINT (16.38020175749599 48.16960139554243),TROSTSTRASSE,U1,Aufzug fährt vom U1 Bahnsteig an die Oberfläche Ausgang Angeligasse.,TO A03,,Wiener Linien,
AUFZUGOGD.1836,1836,POINT (16.38030238239648 48.168309059205264),TROSTSTRASSE,U1,Aufzug fährt vom U1 Bahnsteig an die Oberfläche Ausgang Klausenburger Straße.,TO A04,,Wiener Linien,
AUFZUGOGD.1837,1837,POINT (16.50867636392349 48.22690321485621),SEESTADT,U2,Aufzug fährt vom U2 Bahnsteig zum Ausgang Seestadt Promenade.,EE A02,,Wiener Linien,
AUFZUGOGD.1838,1838,POINT (16.50447952332246 48.2343027735716),ASPERN NORD,U2,Aufzug fährt von der Passage/Zugang U2 zum Ausgang Ostbahn Begleitstraße.,AN A01,,Wiener Linien,
AUFZUGOGD.1839,1839,POINT (16.504524647659096 48.23430588028872),ASPERN NORD,U2,Aufzug fährt von der Passage/Zugang U2 zum Ausgang Ostbahn Begleitstraße.,AN A02,,Wiener Linien,
AUFZUGOGD.1840,1840,POINT (16.382289080676728 48.15452557054364),ALAUDAGASSE,U1,Aufzug fährt vom U1 Bahnsteig an die Oberfläche Ausgang Alaudagasse.,AL A01,,Wiener Linien,
AUFZUGOGD.1841,1841,POINT (16.484643261781486 48.23335691305375),HAUSFELDSTRASSE,U2,Aufzug fährt vom U2 Bahnsteig zum Ausgang Hasibederstraße.,HU A01,,Wiener Linien,
AUFZUGOGD.1842,1842,POINT (16.382315159067883 48.1545255582704),ALAUDAGASSE,U1,Aufzug fährt vom U1 Bahnsteig an die Oberfläche Ausgang Alaudagasse.,AL A02,,Wiener Linien,
AUFZUGOGD.1843,1843,POINT (16.38363987989729 48.16166582629906),ALTES LANDGUT,U1,Aufzug fährt vom U1 Bahnsteig an die Oberfläche Ausgang Altes Landgut.,AT A01,,Wiener Linien,
AUFZUGOGD.1844,1844,POINT (16.374433123468666 48.18591563864515),SÜDTIROLER PLATZ - HAUPTBAHNHOF,U1,Aufzug fährt von Passage zu Bahnsteig der Schnellbahn Gl. 1/Bahnsteig der Linie 18 Richtung Schlachthausgasse und zur Oberfläche bei Staßenbahnhaltestelle der Linie O.,SL A05,,Wiener Linien,
AUFZUGOGD.1845,1845,POINT (16.37508444397662 48.186122433736806),SÜDTIROLER PLATZ - HAUPTBAHNHOF,U1,Aufzug fährt von Passage zu Bahnsteig der Schnellbahn Gl. 1 und zur Oberfläche bei Staßenbahnhaltestelle der Linie O.,SL A06,,Wiener Linien,
AUFZUGOGD.1846,1846,POINT (16.383699167217387 48.16167769990809),ALTES LANDGUT,U1,Aufzug fährt vom U1 Bahnsteig an die Oberfläche Ausgang Altes Landgut.,AT A02,,Wiener Linien,
AUFZUGOGD.1847,1847,POINT (16.38302209455113 48.16283202253919),ALTES LANDGUT,U1,Aufzug fährt vom U1 Bahnsteig an die Oberfläche Ausgang Favoritenstraße.,AT A03,,Wiener Linien,
AUFZUGOGD.1848,1848,POINT (16.48663330165215 48.23346377965727),HAUSFELDSTRASSE,U2,Aufzug fährt vom U2 Bahnsteig zum Ausgang Hausfeldstraße.,HU A02,,Wiener Linien,
AUFZUGOGD.1849,1849,POINT (16.267679243751388 48.1389550794305),,60,Aufzug fährt vom Bahnsteig ins Straßenniveau Ausgang Breitenfurter Straße.,BTF A01,,Wiener Linien,
AUFZUGOGD.1850,1850,POINT (16.380191341285833 48.16962233859073),TROSTSTRASSE,U1,Aufzug fährt vom U1 Bahnsteig an die Oberfläche Ausgang Angeligasse.,TO A01,,Wiener Linien,
AUFZUGOGD.1851,1851,POINT (16.4132263439409 48.19183225553232),ERDBERG,U3,Aufzug fährt vom Zwischengeschoß Ausgang Town Town an die Oberfläche Ausgang Nottendorfergasse.,ED A04,,Wiener Linien,
AUFZUGOGD.1852,1852,POINT (16.385042383122983 48.20722409844365),LANDSTRASSE,U4,Aufzug fährt vom U4 Bahnsteig an die Oberfläche Ausgang Gigergasse.,LA A06,,Wiener Linien,
AUFZUGOGD.1853,1853,POINT (16.38448055813826 48.20627069298052),LANDSTRASSE,U3,Aufzug fährt vom Zwischengeschoß (Zugang zur U3) auf den U4 Bahnsteig und ins Aufnahmegebäude Zugang zu den ÖBB Bahnsteigen und The Mall.,LA A01,,Wiener Linien,
AUFZUGOGD.1854,1854,POINT (16.38019655047212 48.169612343260496),TROSTSTRASSE,U1,Aufzug fährt vom U1 Bahnsteig an die Oberfläche Ausgang Angeligasse.,TO A02,,Wiener Linien,
AUFZUGOGD.1855,1855,POINT (16.380316126062677 48.16829794811862),TROSTSTRASSE,U1,Aufzug fährt vom U1 Bahnsteig an die Oberfläche Ausgang Klausenburger Straße.,TO A05,,Wiener Linien,
